Race,Percentage,Sch_Div
Asian,9.618104668,Henrico High Henrico County Public Schools
Hispanic,4.59688826,Henrico High Henrico County Public Schools
"Non-Hispanic, two or more races",3.889674682,Henrico High Henrico County Public Schools
"Black, not of Hispanic origin",75.4491018,Henry D. Ward Elementary Henrico County Public Schools
"White, not of Hispanic origin",15.76846307,Henry D. Ward Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",4.590818363,Henry D. Ward Elementary Henrico County Public Schools
Hispanic,3.79241517,Henry D. Ward Elementary Henrico County Public Schools
Asian,0.399201597,Henry D. Ward Elementary Henrico County Public Schools
"Black, not of Hispanic origin",41.4919852,Hermitage High Henrico County Public Schools
"White, not of Hispanic origin",27.49691739,Hermitage High Henrico County Public Schools
Hispanic,19.48212084,Hermitage High Henrico County Public Schools
"Non-Hispanic, two or more races",5.672009864,Hermitage High Henrico County Public Schools
Asian,5.42540074,Hermitage High Henrico County Public Schools
American Indian or Alaska Native,0.369913687,Hermitage High Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.061652281,Hermitage High Henrico County Public Schools
"Black, not of Hispanic origin",89.96282528,Highland Springs Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",3.717472119,Highland Springs Elementary Henrico County Public Schools
Hispanic,2.973977695,Highland Springs Elementary Henrico County Public Schools
"White, not of Hispanic origin",2.973977695,Highland Springs Elementary Henrico County Public Schools
American Indian or Alaska Native,0.185873606,Highland Springs Elementary Henrico County Public Schools
Asian,0.185873606,Highland Springs Elementary Henrico County Public Schools
"Black, not of Hispanic origin",79.93079585,Highland Springs High Henrico County Public Schools
"White, not of Hispanic origin",8.007909046,Highland Springs High Henrico County Public Schools
Hispanic,7.612456747,Highland Springs High Henrico County Public Schools
"Non-Hispanic, two or more races",2.965892239,Highland Springs High Henrico County Public Schools
Asian,1.038062284,Highland Springs High Henrico County Public Schools
American Indian or Alaska Native,0.296589224,Highland Springs High Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.148294612,Highland Springs High Henrico County Public Schools
"White, not of Hispanic origin",44.34072345,Holman Middle Henrico County Public Schools
Asian,24.73745624,Holman Middle Henrico County Public Schools
Hispanic,13.41890315,Holman Middle Henrico County Public Schools
"Black, not of Hispanic origin",11.20186698,Holman Middle Henrico County Public Schools
"Non-Hispanic, two or more races",6.184364061,Holman Middle Henrico County Public Schools
American Indian or Alaska Native,0.116686114,Holman Middle Henrico County Public Schools
"White, not of Hispanic origin",48.96551724,Hungary Creek Middle Henrico County Public Schools
"Black, not of Hispanic origin",22.87356322,Hungary Creek Middle Henrico County Public Schools
Asian,12.75862069,Hungary Creek Middle Henrico County Public Schools
Hispanic,8.045977011,Hungary Creek Middle Henrico County Public Schools
"Non-Hispanic, two or more races",7.126436782,Hungary Creek Middle Henrico County Public Schools
American Indian or Alaska Native,0.229885057,Hungary Creek Middle Henrico County Public Schools
"White, not of Hispanic origin",44.10646388,Jackson Davis Elementary Henrico County Public Schools
Asian,22.81368821,Jackson Davis Elementary Henrico County Public Schools
"Black, not of Hispanic origin",19.58174905,Jackson Davis Elementary Henrico County Public Schools
Hispanic,9.125475285,Jackson Davis Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",3.6121673,Jackson Davis Elementary Henrico County Public Schools
American Indian or Alaska Native,0.760456274,Jackson Davis Elementary Henrico County Public Schools
"Black, not of Hispanic origin",81.41025641,Jacob L. Adams Elementary Henrico County Public Schools
Hispanic,10.25641026,Jacob L. Adams Elementary Henrico County Public Schools
"White, not of Hispanic origin",4.700854701,Jacob L. Adams Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",2.991452991,Jacob L. Adams Elementary Henrico County Public Schools
Asian,0.427350427,Jacob L. Adams Elementary Henrico County Public Schools
American Indian or Alaska Native,0.213675214,Jacob L. Adams Elementary Henrico County Public Schools
"White, not of Hispanic origin",29.90196078,John Randolph Tucker High Henrico County Public Schools
Hispanic,25.65359477,John Randolph Tucker High Henrico County Public Schools
"Black, not of Hispanic origin",23.80174292,John Randolph Tucker High Henrico County Public Schools
Asian,15.1416122,John Randolph Tucker High Henrico County Public Schools
"Non-Hispanic, two or more races",5.22875817,John Randolph Tucker High Henrico County Public Schools
American Indian or Alaska Native,0.217864924,John Randolph Tucker High Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.054466231,John Randolph Tucker High Henrico County Public Schools
"Black, not of Hispanic origin",82.37288136,John Rolfe Middle Henrico County Public Schools
"White, not of Hispanic origin",8.361581921,John Rolfe Middle Henrico County Public Schools
Hispanic,5.197740113,John Rolfe Middle Henrico County Public Schools
"Non-Hispanic, two or more races",3.95480226,John Rolfe Middle Henrico County Public Schools
Asian,0.11299435,John Rolfe Middle Henrico County Public Schools
"Black, not of Hispanic origin",68.86792453,L. Douglas Wilder Middle Henrico County Public Schools
"White, not of Hispanic origin",15.90296496,L. Douglas Wilder Middle Henrico County Public Schools
Asian,7.412398922,L. Douglas Wilder Middle Henrico County Public Schools
"Non-Hispanic, two or more races",4.043126685,L. Douglas Wilder Middle Henrico County Public Schools
Hispanic,3.638814016,L. Douglas Wilder Middle Henrico County Public Schools
American Indian or Alaska Native,0.134770889,L. Douglas Wilder Middle Henrico County Public Schools
"Black, not of Hispanic origin",83.98268398,Laburnum Elementary Henrico County Public Schools
Hispanic,8.441558442,Laburnum Elementary Henrico County Public Schools
"White, not of Hispanic origin",3.463203463,Laburnum Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",2.813852814,Laburnum Elementary Henrico County Public Schools
Asian,1.082251082,Laburnum Elementary Henrico County Public Schools
American Indian or Alaska Native,0.216450216,Laburnum Elementary Henrico County Public Schools
"White, not of Hispanic origin",37.77777778,Lakeside Elementary Henrico County Public Schools
"Black, not of Hispanic origin",32.34567901,Lakeside Elementary Henrico County Public Schools
Hispanic,22.22222222,Lakeside Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",3.950617284,Lakeside Elementary Henrico County Public Schools
Asian,3.703703704,Lakeside Elementary Henrico County Public Schools
"Black, not of Hispanic origin",52.05761317,Longdale Elementary Henrico County Public Schools
"White, not of Hispanic origin",21.60493827,Longdale Elementary Henrico County Public Schools
Hispanic,14.19753086,Longdale Elementary Henrico County Public Schools
Asian,6.378600823,Longdale Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",5.555555556,Longdale Elementary Henrico County Public Schools
American Indian or Alaska Native,0.205761317,Longdale Elementary Henrico County Public Schools
"Black, not of Hispanic origin",31.62878788,Maude Trevvett Elementary Henrico County Public Schools
"White, not of Hispanic origin",31.43939394,Maude Trevvett Elementary Henrico County Public Schools
Hispanic,16.09848485,Maude Trevvett Elementary Henrico County Public Schools
Asian,12.68939394,Maude Trevvett Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",8.143939394,Maude Trevvett Elementary Henrico County Public Schools
"White, not of Hispanic origin",55.25876461,Maybeury Elementary Henrico County Public Schools
"Black, not of Hispanic origin",22.20367279,Maybeury Elementary Henrico County Public Schools
Hispanic,13.02170284,Maybeury Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",6.176961603,Maybeury Elementary Henrico County Public Schools
Asian,3.338898164,Maybeury Elementary Henrico County Public Schools
"White, not of Hispanic origin",63.0387931,Mills E. Godwin High Henrico County Public Schools
Asian,15.24784483,Mills E. Godwin High Henrico County Public Schools
"Black, not of Hispanic origin",8.836206897,Mills E. Godwin High Henrico County Public Schools
Hispanic,7.596982759,Mills E. Godwin High Henrico County Public Schools
"Non-Hispanic, two or more races",5.172413793,Mills E. Godwin High Henrico County Public Schools
American Indian or Alaska Native,0.05387931,Mills E. Godwin High Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.05387931,Mills E. Godwin High Henrico County Public Schools
"Black, not of Hispanic origin",81.00558659,Montrose Elementary Henrico County Public Schools
"White, not of Hispanic origin",6.983240223,Montrose Elementary Henrico County Public Schools
Hispanic,6.703910615,Montrose Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",4.189944134,Montrose Elementary Henrico County Public Schools
Asian,0.837988827,Montrose Elementary Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.279329609,Montrose Elementary Henrico County Public Schools
"White, not of Hispanic origin",73.11072056,Nuckols Farm Elementary Henrico County Public Schools
Asian,14.05975395,Nuckols Farm Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",5.448154657,Nuckols Farm Elementary Henrico County Public Schools
Hispanic,3.866432337,Nuckols Farm Elementary Henrico County Public Schools
"Black, not of Hispanic origin",3.339191564,Nuckols Farm Elementary Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.175746924,Nuckols Farm Elementary Henrico County Public Schools
"White, not of Hispanic origin",72.62247839,Pemberton Elementary Henrico County Public Schools
"Black, not of Hispanic origin",12.39193084,Pemberton Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",8.645533141,Pemberton Elementary Henrico County Public Schools
Hispanic,4.034582133,Pemberton Elementary Henrico County Public Schools
Asian,1.152737752,Pemberton Elementary Henrico County Public Schools
American Indian or Alaska Native,0.864553314,Pemberton Elementary Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.288184438,Pemberton Elementary Henrico County Public Schools
"White, not of Hispanic origin",55.32786885,Pinchbeck Elementary Henrico County Public Schools
Hispanic,19.46721311,Pinchbeck Elementary Henrico County Public Schools
"Black, not of Hispanic origin",11.47540984,Pinchbeck Elementary Henrico County Public Schools
Asian,8.401639344,Pinchbeck Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",5.12295082,Pinchbeck Elementary Henrico County Public Schools
American Indian or Alaska Native,0.204918033,Pinchbeck Elementary Henrico County Public Schools
"White, not of Hispanic origin",64.96350365,Pocahontas Middle Henrico County Public Schools
Asian,10.58394161,Pocahontas Middle Henrico County Public Schools
"Black, not of Hispanic origin",9.9756691,Pocahontas Middle Henrico County Public Schools
Hispanic,8.515815085,Pocahontas Middle Henrico County Public Schools
"Non-Hispanic, two or more races",5.717761557,Pocahontas Middle Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.243309002,Pocahontas Middle Henrico County Public Schools
"White, not of Hispanic origin",40.76190476,Quioccasin Middle Henrico County Public Schools
Hispanic,21.9047619,Quioccasin Middle Henrico County Public Schools
"Black, not of Hispanic origin",21.80952381,Quioccasin Middle Henrico County Public Schools
Asian,8.285714286,Quioccasin Middle Henrico County Public Schools
"Non-Hispanic, two or more races",6.857142857,Quioccasin Middle Henrico County Public Schools
American Indian or Alaska Native,0.285714286,Quioccasin Middle Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.095238095,Quioccasin Middle Henrico County Public Schools
"White, not of Hispanic origin",30.56872038,R.C. Longan Elementary Henrico County Public Schools
"Black, not of Hispanic origin",22.27488152,R.C. Longan Elementary Henrico County Public Schools
Hispanic,22.27488152,R.C. Longan Elementary Henrico County Public Schools
Asian,17.77251185,R.C. Longan Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",6.398104265,R.C. Longan Elementary Henrico County Public Schools
American Indian or Alaska Native,0.473933649,R.C. Longan Elementary Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.236966825,R.C. Longan Elementary Henrico County Public Schools
Hispanic,31.85840708,Ridge Elementary Henrico County Public Schools
"White, not of Hispanic origin",31.4159292,Ridge Elementary Henrico County Public Schools
"Black, not of Hispanic origin",23.89380531,Ridge Elementary Henrico County Public Schools
Asian,9.513274336,Ridge Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",3.097345133,Ridge Elementary Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.221238938,Ridge Elementary Henrico County Public Schools
Asian,67.27272727,Rivers Edge Elementary Henrico County Public Schools
"White, not of Hispanic origin",21.81818182,Rivers Edge Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",5.974025974,Rivers Edge Elementary Henrico County Public Schools
"Black, not of Hispanic origin",2.597402597,Rivers Edge Elementary Henrico County Public Schools
Hispanic,2.337662338,Rivers Edge Elementary Henrico County Public Schools
"White, not of Hispanic origin",43.61702128,Ruby F. Carver Elementary Henrico County Public Schools
"Black, not of Hispanic origin",24.89361702,Ruby F. Carver Elementary Henrico County Public Schools
Hispanic,16.38297872,Ruby F. Carver Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",10,Ruby F. Carver Elementary Henrico County Public Schools
Asian,5.106382979,Ruby F. Carver Elementary Henrico County Public Schools
"White, not of Hispanic origin",42.47311828,Sandston Elementary Henrico County Public Schools
"Black, not of Hispanic origin",34.40860215,Sandston Elementary Henrico County Public Schools
Hispanic,13.97849462,Sandston Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",8.064516129,Sandston Elementary Henrico County Public Schools
Asian,1.075268817,Sandston Elementary Henrico County Public Schools
"Black, not of Hispanic origin",46.86648501,Seven Pines Elementary Henrico County Public Schools
"White, not of Hispanic origin",37.60217984,Seven Pines Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",8.446866485,Seven Pines Elementary Henrico County Public Schools
Hispanic,4.904632153,Seven Pines Elementary Henrico County Public Schools
American Indian or Alaska Native,1.089918256,Seven Pines Elementary Henrico County Public Schools
Asian,1.089918256,Seven Pines Elementary Henrico County Public Schools
"White, not of Hispanic origin",50.93378608,Shady Grove Elementary Henrico County Public Schools
Asian,31.40916808,Shady Grove Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",6.112054329,Shady Grove Elementary Henrico County Public Schools
"Black, not of Hispanic origin",5.942275042,Shady Grove Elementary Henrico County Public Schools
Hispanic,4.923599321,Shady Grove Elementary Henrico County Public Schools
American Indian or Alaska Native,0.339558574,Shady Grove Elementary Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.339558574,Shady Grove Elementary Henrico County Public Schools
"White, not of Hispanic origin",49.82014388,Short Pump Elementary Henrico County Public Schools
Asian,32.01438849,Short Pump Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",6.294964029,Short Pump Elementary Henrico County Public Schools
"Black, not of Hispanic origin",6.115107914,Short Pump Elementary Henrico County Public Schools
Hispanic,5.395683453,Short Pump Elementary Henrico County Public Schools
American Indian or Alaska Native,0.35971223,Short Pump Elementary Henrico County Public Schools
"White, not of Hispanic origin",48.71111111,Short Pump Middle Henrico County Public Schools
Asian,30.13333333,Short Pump Middle Henrico County Public Schools
"Black, not of Hispanic origin",9.333333333,Short Pump Middle Henrico County Public Schools
Hispanic,5.6,Short Pump Middle Henrico County Public Schools
"Non-Hispanic, two or more races",5.6,Short Pump Middle Henrico County Public Schools
American Indian or Alaska Native,0.355555556,Short Pump Middle Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.266666667,Short Pump Middle Henrico County Public Schools
"Black, not of Hispanic origin",25.45454545,Skipwith Elementary Henrico County Public Schools
Hispanic,23.63636364,Skipwith Elementary Henrico County Public Schools
"White, not of Hispanic origin",23.63636364,Skipwith Elementary Henrico County Public Schools
Asian,21.81818182,Skipwith Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",5.454545455,Skipwith Elementary Henrico County Public Schools
"White, not of Hispanic origin",50,Springfield Park Elementary Henrico County Public Schools
Asian,19,Springfield Park Elementary Henrico County Public Schools
Hispanic,12.33333333,Springfield Park Elementary Henrico County Public Schools
"Black, not of Hispanic origin",12.16666667,Springfield Park Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",6.333333333,Springfield Park Elementary Henrico County Public Schools
American Indian or Alaska Native,0.166666667,Springfield Park Elementary Henrico County Public Schools
"White, not of Hispanic origin",49.8245614,Three Chopt Elementary Henrico County Public Schools
Hispanic,16.14035088,Three Chopt Elementary Henrico County Public Schools
"Black, not of Hispanic origin",15.43859649,Three Chopt Elementary Henrico County Public Schools
Asian,11.22807018,Three Chopt Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",5.964912281,Three Chopt Elementary Henrico County Public Schools
American Indian or Alaska Native,1.403508772,Three Chopt Elementary Henrico County Public Schools
"White, not of Hispanic origin",90.0990099,Tuckahoe Elementary Henrico County Public Schools
Hispanic,3.795379538,Tuckahoe Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",3.795379538,Tuckahoe Elementary Henrico County Public Schools
"Black, not of Hispanic origin",1.485148515,Tuckahoe Elementary Henrico County Public Schools
Asian,0.825082508,Tuckahoe Elementary Henrico County Public Schools
"White, not of Hispanic origin",58.45004669,Tuckahoe Middle Henrico County Public Schools
Hispanic,17.46031746,Tuckahoe Middle Henrico County Public Schools
"Black, not of Hispanic origin",12.6984127,Tuckahoe Middle Henrico County Public Schools
"Non-Hispanic, two or more races",6.069094304,Tuckahoe Middle Henrico County Public Schools
Asian,4.761904762,Tuckahoe Middle Henrico County Public Schools
American Indian or Alaska Native,0.466853408,Tuckahoe Middle Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.093370682,Tuckahoe Middle Henrico County Public Schools
Asian,58.28779599,Twin Hickory Elementary Henrico County Public Schools
"White, not of Hispanic origin",23.13296903,Twin Hickory Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",7.832422587,Twin Hickory Elementary Henrico County Public Schools
"Black, not of Hispanic origin",6.010928962,Twin Hickory Elementary Henrico County Public Schools
Hispanic,4.189435337,Twin Hickory Elementary Henrico County Public Schools
American Indian or Alaska Native,0.546448087,Twin Hickory Elementary Henrico County Public Schools
"Black, not of Hispanic origin",71.9665272,Varina Elementary Henrico County Public Schools
"White, not of Hispanic origin",14.64435146,Varina Elementary Henrico County Public Schools
"Non-Hispanic, two or more races",7.949790795,Varina Elementary Henrico County Public Schools
Hispanic,5.439330544,Varina Elementary Henrico County Public Schools
"Black, not of Hispanic origin",71.39124755,Varina High Henrico County Public Schools
"White, not of Hispanic origin",17.37426519,Varina High Henrico County Public Schools
Hispanic,5.029392554,Varina High Henrico County Public Schools
"Non-Hispanic, two or more races",5.029392554,Varina High Henrico County Public Schools
American Indian or Alaska Native,0.522534291,Varina High Henrico County Public Schools
Asian,0.522534291,Varina High Henrico County Public Schools
Native Hawaiian  or Pacific Islander,0.130633573,Varina High Henrico County Public Schools
"White, not of Hispanic origin",43.12169312,Axton Elementary Henry County Public Schools
Hispanic,24.6031746,Axton Elementary Henry County Public Schools
"Black, not of Hispanic origin",24.07407407,Axton Elementary Henry County Public Schools
"Non-Hispanic, two or more races",8.201058201,Axton Elementary Henry County Public Schools
"White, not of Hispanic origin",57.26027397,Bassett High Henry County Public Schools
Hispanic,17.89954338,Bassett High Henry County Public Schools
"Black, not of Hispanic origin",16.52968037,Bassett High Henry County Public Schools
"Non-Hispanic, two or more races",8.127853881,Bassett High Henry County Public Schools
American Indian or Alaska Native,0.091324201,Bassett High Henry County Public Schools
Asian,0.091324201,Bassett High Henry County Public Schools
"White, not of Hispanic origin",59.12408759,Campbell Court Elementary Henry County Public Schools
Hispanic,15.32846715,Campbell Court Elementary Henry County Public Schools
"Black, not of Hispanic origin",14.23357664,Campbell Court Elementary Henry County Public Schools
"Non-Hispanic, two or more races",10.94890511,Campbell Court Elementary Henry County Public Schools
Native Hawaiian  or Pacific Islander,0.364963504,Campbell Court Elementary Henry County Public Schools
"White, not of Hispanic origin",59.31372549,Drewry Mason Elementary Henry County Public Schools
"Black, not of Hispanic origin",15.93137255,Drewry Mason Elementary Henry County Public Schools
Hispanic,12.25490196,Drewry Mason Elementary Henry County Public Schools
"Non-Hispanic, two or more races",11.76470588,Drewry Mason Elementary Henry County Public Schools
Asian,0.735294118,Drewry Mason Elementary Henry County Public Schools
"White, not of Hispanic origin",59.23718713,Fieldale-Collinsville Middle Henry County Public Schools
Hispanic,17.28247914,Fieldale-Collinsville Middle Henry County Public Schools
"Black, not of Hispanic origin",15.01787843,Fieldale-Collinsville Middle Henry County Public Schools
"Non-Hispanic, two or more races",8.10488677,Fieldale-Collinsville Middle Henry County Public Schools
Asian,0.238379023,Fieldale-Collinsville Middle Henry County Public Schools
American Indian or Alaska Native,0.119189511,Fieldale-Collinsville Middle Henry County Public Schools
"White, not of Hispanic origin",54.96688742,G.W. Carver Elementary Henry County Public Schools
"Black, not of Hispanic origin",21.19205298,G.W. Carver Elementary Henry County Public Schools
Hispanic,12.58278146,G.W. Carver Elementary Henry County Public Schools
"Non-Hispanic, two or more races",10.15452539,G.W. Carver Elementary Henry County Public Schools
Asian,0.883002208,G.W. Carver Elementary Henry County Public Schools
Native Hawaiian  or Pacific Islander,0.220750552,G.W. Carver Elementary Henry County Public Schools
"White, not of Hispanic origin",48.39108911,Laurel Park Middle Henry County Public Schools
"Black, not of Hispanic origin",29.57920792,Laurel Park Middle Henry County Public Schools
Hispanic,12.9950495,Laurel Park Middle Henry County Public Schools
"Non-Hispanic, two or more races",8.415841584,Laurel Park Middle Henry County Public Schools
Asian,0.495049505,Laurel Park Middle Henry County Public Schools
American Indian or Alaska Native,0.123762376,Laurel Park Middle Henry County Public Schools
"White, not of Hispanic origin",51.70821791,Magna Vista High Henry County Public Schools
"Black, not of Hispanic origin",28.71652816,Magna Vista High Henry County Public Schools
Hispanic,13.29639889,Magna Vista High Henry County Public Schools
"Non-Hispanic, two or more races",5.447830102,Magna Vista High Henry County Public Schools
Asian,0.646352724,Magna Vista High Henry County Public Schools
American Indian or Alaska Native,0.092336103,Magna Vista High Henry County Public Schools
Native Hawaiian  or Pacific Islander,0.092336103,Magna Vista High Henry County Public Schools
"White, not of Hispanic origin",45.2887538,Meadow View Elementary Henry County Public Schools
"Black, not of Hispanic origin",24.01215805,Meadow View Elementary Henry County Public Schools
Hispanic,21.12462006,Meadow View Elementary Henry County Public Schools
"Non-Hispanic, two or more races",8.96656535,Meadow View Elementary Henry County Public Schools
Asian,0.607902736,Meadow View Elementary Henry County Public Schools
"Black, not of Hispanic origin",44.32989691,Mount Olivet Elementary Henry County Public Schools
"White, not of Hispanic origin",34.70790378,Mount Olivet Elementary Henry County Public Schools
Hispanic,11.6838488,Mount Olivet Elementary Henry County Public Schools
"Non-Hispanic, two or more races",9.278350515,Mount Olivet Elementary Henry County Public Schools
"Black, not of Hispanic origin",44.04761905,Rich Acres Elementary Henry County Public Schools
"White, not of Hispanic origin",28.17460317,Rich Acres Elementary Henry County Public Schools
Hispanic,18.25396825,Rich Acres Elementary Henry County Public Schools
"Non-Hispanic, two or more races",9.523809524,Rich Acres Elementary Henry County Public Schools
"White, not of Hispanic origin",77.63157895,Sanville Elementary Henry County Public Schools
Hispanic,9.649122807,Sanville Elementary Henry County Public Schools
"Non-Hispanic, two or more races",8.333333333,Sanville Elementary Henry County Public Schools
"Black, not of Hispanic origin",4.385964912,Sanville Elementary Henry County Public Schools
"White, not of Hispanic origin",61.62790698,Stanleytown Elementary Henry County Public Schools
"Black, not of Hispanic origin",18.21705426,Stanleytown Elementary Henry County Public Schools
Hispanic,10.46511628,Stanleytown Elementary Henry County Public Schools
"Non-Hispanic, two or more races",8.914728682,Stanleytown Elementary Henry County Public Schools
American Indian or Alaska Native,0.387596899,Stanleytown Elementary Henry County Public Schools
Asian,0.387596899,Stanleytown Elementary Henry County Public Schools
"White, not of Hispanic origin",50,Highland Elementary Highland County Public Schools
Asian,1.123595506,Highland Elementary Highland County Public Schools
"Non-Hispanic, two or more races",0.561797753,Highland Elementary Highland County Public Schools
"White, not of Hispanic origin",46.62921348,Highland High Highland County Public Schools
"Non-Hispanic, two or more races",1.123595506,Highland High Highland County Public Schools
Hispanic,0.561797753,Highland High Highland County Public Schools
"Black, not of Hispanic origin",64.56140351,Carter G. Woodson Middle Hopewell City Public Schools
"White, not of Hispanic origin",21.40350877,Carter G. Woodson Middle Hopewell City Public Schools
Hispanic,10.87719298,Carter G. Woodson Middle Hopewell City Public Schools
"Non-Hispanic, two or more races",1.403508772,Carter G. Woodson Middle Hopewell City Public Schools
Asian,0.935672515,Carter G. Woodson Middle Hopewell City Public Schools
American Indian or Alaska Native,0.81871345,Carter G. Woodson Middle Hopewell City Public Schools
"Black, not of Hispanic origin",51.06035889,Dupont Elementary Hopewell City Public Schools
"White, not of Hispanic origin",26.59053834,Dupont Elementary Hopewell City Public Schools
Hispanic,15.17128874,Dupont Elementary Hopewell City Public Schools
"Non-Hispanic, two or more races",6.362153344,Dupont Elementary Hopewell City Public Schools
American Indian or Alaska Native,0.652528548,Dupont Elementary Hopewell City Public Schools
Native Hawaiian  or Pacific Islander,0.163132137,Dupont Elementary Hopewell City Public Schools
"Black, not of Hispanic origin",66.72862454,Harry E. James Elementary Hopewell City Public Schools
"White, not of Hispanic origin",15.42750929,Harry E. James Elementary Hopewell City Public Schools
Hispanic,11.33828996,Harry E. James Elementary Hopewell City Public Schools
"Non-Hispanic, two or more races",5.390334572,Harry E. James Elementary Hopewell City Public Schools
Asian,0.92936803,Harry E. James Elementary Hopewell City Public Schools
American Indian or Alaska Native,0.185873606,Harry E. James Elementary Hopewell City Public Schools
"Black, not of Hispanic origin",60.75407027,Hopewell High Hopewell City Public Schools
"White, not of Hispanic origin",25.70694087,Hopewell High Hopewell City Public Schools
Hispanic,10.53984576,Hopewell High Hopewell City Public Schools
Asian,1.199657241,Hopewell High Hopewell City Public Schools
"Non-Hispanic, two or more races",1.113967438,Hopewell High Hopewell City Public Schools
American Indian or Alaska Native,0.685518423,Hopewell High Hopewell City Public Schools
"Black, not of Hispanic origin",57.3089701,Patrick Copeland Elementary Hopewell City Public Schools
"White, not of Hispanic origin",23.58803987,Patrick Copeland Elementary Hopewell City Public Schools
Hispanic,11.12956811,Patrick Copeland Elementary Hopewell City Public Schools
"Non-Hispanic, two or more races",6.312292359,Patrick Copeland Elementary Hopewell City Public Schools
Asian,1.162790698,Patrick Copeland Elementary Hopewell City Public Schools
American Indian or Alaska Native,0.49833887,Patrick Copeland Elementary Hopewell City Public Schools
"White, not of Hispanic origin",55.50314465,Carrollton Elementary Isle of Wight County Public Schools
"Black, not of Hispanic origin",25,Carrollton Elementary Isle of Wight County Public Schools
"Non-Hispanic, two or more races",10.6918239,Carrollton Elementary Isle of Wight County Public Schools
Hispanic,7.232704403,Carrollton Elementary Isle of Wight County Public Schools
Asian,1.41509434,Carrollton Elementary Isle of Wight County Public Schools
American Indian or Alaska Native,0.157232704,Carrollton Elementary Isle of Wight County Public Schools
"White, not of Hispanic origin",73.96694215,Carrsville Elementary Isle of Wight County Public Schools
"Black, not of Hispanic origin",12.39669421,Carrsville Elementary Isle of Wight County Public Schools
"Non-Hispanic, two or more races",7.851239669,Carrsville Elementary Isle of Wight County Public Schools
Hispanic,5.371900826,Carrsville Elementary Isle of Wight County Public Schools
Asian,0.41322314,Carrsville Elementary Isle of Wight County Public Schools
"White, not of Hispanic origin",70.82228117,Georgie D. Tyler Middle Isle of Wight County Public Schools
"Black, not of Hispanic origin",20.42440318,Georgie D. Tyler Middle Isle of Wight County Public Schools
Hispanic,4.774535809,Georgie D. Tyler Middle Isle of Wight County Public Schools
"Non-Hispanic, two or more races",3.183023873,Georgie D. Tyler Middle Isle of Wight County Public Schools
Asian,0.795755968,Georgie D. Tyler Middle Isle of Wight County Public Schools
"White, not of Hispanic origin",57.46691871,Hardy Elementary Isle of Wight County Public Schools
"Black, not of Hispanic origin",28.92249527,Hardy Elementary Isle of Wight County Public Schools
"Non-Hispanic, two or more races",7.561436673,Hardy Elementary Isle of Wight County Public Schools
Hispanic,5.293005671,Hardy Elementary Isle of Wight County Public Schools
Asian,0.756143667,Hardy Elementary Isle of Wight County Public Schools
"White, not of Hispanic origin",56.27802691,Smithfield High Isle of Wight County Public Schools
"Black, not of Hispanic origin",28.69955157,Smithfield High Isle of Wight County Public Schools
"Non-Hispanic, two or more races",7.025411061,Smithfield High Isle of Wight County Public Schools
Hispanic,5.754857997,Smithfield High Isle of Wight County Public Schools
Asian,1.34529148,Smithfield High Isle of Wight County Public Schools
American Indian or Alaska Native,0.597907324,Smithfield High Isle of Wight County Public Schools
